local_id,neo4j_id,name,labels,props_json
0,1601,subtle ST segment depression in V3 –V6,['ECGFinding'],"{""name"": ""subtle ST segment depression in V3 –V6""}"
1,1602,subtle ST segment depression in inferior leads,['ECGFinding'],"{""name"": ""subtle ST segment depression in inferior leads""}"
2,1605,deeply inverted T waves,['ECGFinding'],"{""name"": ""deeply inverted T waves""}"
3,1606,deep symmetric T wave inversion,['ECGFinding'],"{""name"": ""deep symmetric T wave inversion""}"
4,1608,prominent T wave inversion,['ECGFinding'],"{""name"": ""prominent T wave inversion""}"
5,1609,T wave normalization,['ECGFinding'],"{""name"": ""T wave normalization""}"
6,1613,anterior ST segment elevation,['ECGFinding'],"{""name"": ""anterior ST segment elevation""}"
7,1614,ST segment elevation in the inferior leads,['ECGFinding'],"{""name"": ""ST segment elevation in the inferior leads""}"
8,1615,number of leads that display ST segment elevation,['ECGFinding'],"{""name"": ""number of leads that display ST segment elevation""}"
9,1617,absence of inferior ST segment elevation,['ECGFinding'],"{""name"": ""absence of inferior ST segment elevation""}"
10,1618,reciprocal changes in the inferior leads,['ECGFinding'],"{""name"": ""reciprocal changes in the inferior leads""}"
11,1619,right bundle branch block,['ECGFinding'],"{""name"": ""right bundle branch block""}"
12,1621,left anterior fascicular block,['ECGFinding'],"{""name"": ""left anterior fascicular block""}"
13,1623,ST segment abnormalities,['ECGFinding'],"{""name"": ""ST segment abnormalities""}"
14,1624,T wave frequently becomes inverted,['ECGFinding'],"{""name"": ""T wave frequently becomes inverted""}"
15,1625,"ST segment elevation in the inferior leads (II, III, and aVF)",['ECGFinding'],"{""name"": ""ST segment elevation in the inferior leads (II, III, and aVF)""}"
16,1627,ST segment elevation in lead III,['ECGFinding'],"{""name"": ""ST segment elevation in lead III""}"
17,1629,reciprocal ST depression in leads I and aVL,['ECGFinding'],"{""name"": ""reciprocal ST depression in leads I and aVL""}"
18,1630,prominent ST segment elevation in lead II,['ECGFinding'],"{""name"": ""prominent ST segment elevation in lead II""}"
19,1632,prominent R wave in lead V1,['ECGFinding'],"{""name"": ""prominent R wave in lead V1""}"
20,1634,significant ST segment depression,['ECGFinding'],"{""name"": ""significant ST segment depression""}"
21,1635,upright T wave,['ECGFinding'],"{""name"": ""upright T wave""}"
22,1636,prominent R wave,['ECGFinding'],"{""name"": ""prominent R wave""}"
23,1637,"equal ST segment elevation in II, aVF, and III",['ECGFinding'],"{""name"": ""equal ST segment elevation in II, aVF, and III""}"
24,1638,absent reciprocal changes in leads I and aVL,['ECGFinding'],"{""name"": ""absent reciprocal changes in leads I and aVL""}"
25,1640,lack of reciprocal changes or even frank ST segment elevation,['ECGFinding'],"{""name"": ""lack of reciprocal changes or even frank ST segment elevation""}"
