src,dst,src_neo4j_id,dst_neo4j_id,rel,edge_type,evidence,props_json
0,409,1601,1704,SUPPORTS,SUPPORTS,Notice that the ECG obtained during chest pain also has subtle ST segment depression in V3 –V6.,"{""evidence_text"": ""Notice that the ECG obtained during chest pain also has subtle ST segment depression in V3 –V6."", ""chunk_index"": 1, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 2}"
1,409,1602,1704,SUPPORTS,SUPPORTS,Notice that the ECG obtained during chest pain also has subtle ST segment depression in inferior leads that resolves when the patient’s chest pain resolves.,"{""evidence_text"": ""Notice that the ECG obtained during chest pain also has subtle ST segment depression in inferior leads that resolves when the patient’s chest pain resolves."", ""chunk_index"": 1, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 2}"
2,410,1605,1705,INDICATES,INDICATES,Prominent and deeply inverted T waves can be associated with myocardial infarction.,"{""evidence_text"": ""Prominent and deeply inverted T waves can be associated with myocardial infarction."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 5}"
2,373,1605,1607,SUPPORTS,SUPPORTS,The general consensus among experts is that deeply inverted T waves in the setting of myocardial injury/ischemia usually suggest the presence of viable myocardium and usually portend a better prognosis.,"{""evidence_text"": ""The general consensus among experts is that deeply inverted T waves in the setting of myocardial injury/ischemia usually suggest the presence of viable myocardium and usually portend a better prognosis."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 5}"
3,410,1606,1705,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,deep symmetric T wave inversion in the anterior chest leads (V2 and V3) can be associated with significant narrowing in the left anterior descending artery.,"{""evidence_text"": ""deep symmetric T wave inversion in the anterior chest leads (V2 and V3) can be associated with significant narrowing in the left anterior descending artery."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 5}"
4,373,1608,1607,SUPPORTS,SUPPORTS,"even prominent T wave inversion can have multiple diverse causes, including pulmonary embolism, antiarrhythmic drug use, and central nervous system injury, and can even be a normal variant.","{""evidence_text"": ""even prominent T wave inversion can have multiple diverse causes, including pulmonary embolism, antiarrhythmic drug use, and central nervous system injury, and can even be a normal variant."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 5}"
5,410,1609,1705,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,Normalization of T waves after a myocardial infarction appears to be a marker for improvement in left ventricular function and an indicator of a better prognosis.,"{""evidence_text"": ""Normalization of T waves after a myocardial infarction appears to be a marker for improvement in left ventricular function and an indicator of a better prognosis."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 6}"
6,410,1613,1705,INDICATES,INDICATES,occlusion of the left anterior descending can be associated with anterior ST segment elevation,"{""evidence_text"": ""occlusion of the left anterior descending can be associated with anterior ST segment elevation"", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
7,410,1614,1705,INDICATES,INDICATES,Mr. Arbuckle has ST segment elevation in the inferior leads.,"{""evidence_text"": ""Mr. Arbuckle has ST segment elevation in the inferior leads."", ""chunk_index"": 0, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
8,377,1615,1616,SUPPORTS,SUPPORTS,the number of leads that display ST segment elevation provides an estimate for the amount of jeopardized myocardium,"{""evidence_text"": ""the number of leads that display ST segment elevation provides an estimate for the amount of jeopardized myocardium"", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
