src_id,rel_type,tgt_id,confidence,meta
1,STRONG_EVIDENCE_FOR,2,1.0,"{""evidence_text"": ""Of all of the ECG changes, ST segment elevation is the most prominent... help localize the specific region and amount of cardiac tissue being affected"", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Abstract"", ""paragraph_index"": 0, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
3,STRONG_EVIDENCE_FOR,2,1.0,"{""evidence_text"": ""ST-segment elevation indicates myocardial injury."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 1, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
4,STRONG_EVIDENCE_FOR,5,1.0,"{""evidence_text"": ""Reciprocal ST depression is indicative of transmural ischemia."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 1, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
6,SPECIFIC_FOR,7,1.0,"{""evidence_text"": ""T-wave inversions are highly specific for myocardial ischemia."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 1, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
8,STRONG_EVIDENCE_FOR,9,1.0,"{""evidence_text"": ""The presence of Q waves is a classic sign indicating myocardial infarction."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 2, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
8,SPECIFIC_FOR,2,1.0,"{""evidence_text"": ""Q waves are highly specific for identifying myocardial injury."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 2, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
1,STRONG_EVIDENCE_FOR,5,1.0,"{""evidence_text"": ""Abnormal ventricular repolarization: ST segment elevation..."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 3, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
10,WEAK_EVIDENCE_FOR,2,1.0,"{""evidence_text"": ""Abnormal ventricular repolarization: ST segment depression..."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 3, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
11,SPECIFIC_FOR,7,1.0,"{""evidence_text"": ""Abnormal ventricular repolarization: inverted T waves..."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 3, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
12,STRONG_EVIDENCE_FOR,13,1.0,"{""evidence_text"": ""T wave peaking can sometimes be observed during acute myocardial infarction/ischemia."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Peaking"", ""paragraph_index"": 0, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
12,STRONG_EVIDENCE_FOR,7,1.0,"{""evidence_text"": ""T wave peaking can sometimes be observed during acute myocardial infarction/ischemia."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Peaking"", ""paragraph_index"": 0, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
12,SPECIFIC_FOR,14,1.0,"{""evidence_text"": ""These ion concentration changes are responsible for peaked or 'hyperacute' T waves that can sometimes be observed during acute myocardial infarction/ischemia."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Peaking"", ""paragraph_index"": 0, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
15,STRONG_EVIDENCE_FOR,16,1.0,"{""evidence_text"": ""Abnormalities in the ST segment, either elevation or depression, are the most commonly used ECG findings for the diagnosis of ischemia/infarction."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ST Segment Changes"", ""paragraph_index"": 0, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
1,STRONG_EVIDENCE_FOR,2,1.0,"{""evidence_text"": ""In the setting of a myocardial infarction associated with ST segment elevation..."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ST Segment Changes"", ""paragraph_index"": 2, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
17,WEAK_EVIDENCE_FOR,2,1.0,"{""evidence_text"": ""ST segment depressions are usually called 'reciprocal changes' in order to emphasize that both the ST segment elevation and depression arise from the same process."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ST Segment Changes"", ""paragraph_index"": 2, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
1,STRONG_EVIDENCE_FOR,2,1.0,"{""evidence_text"": ""ST segment elevation during myocardial infarction is a complex process."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ST Segment Changes"", ""paragraph_index"": 4, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
1,STRONG_EVIDENCE_FOR,9,1.0,"{""evidence_text"": ""Complete and sustained occlusion of a coronary artery with development of a myocardial infarction will lead to ST segment elevation in the electrodes that are overlying the injured area."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ST Segment Changes"", ""paragraph_index"": 5, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
18,WEAK_EVIDENCE_FOR,9,1.0,"{""evidence_text"": ""ST depression (reciprocal changes) in leads that are looking at the injured area 'from a distance' through normal tissue."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ST Segment Changes"", ""paragraph_index"": 5, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
17,SPECIFIC_FOR,9,1.0,"{""evidence_text"": ""The presence of reciprocal changes in the setting of localized ST segment elevation is a very specific finding for myocardial infarction (> 90%)."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ST Segment Changes"", ""paragraph_index"": 8, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
17,WEAK_EVIDENCE_FOR,19,1.0,"{""evidence_text"": ""reciprocal ST segment depression is seen only in lead aVR in pericarditis and is usually not observed in early repolarization."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ST Segment Changes"", ""paragraph_index"": 8, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
20,STRONG_EVIDENCE_FOR,2,1.0,"{""evidence_text"": ""Coexistence of ST segment elevation and ST segment depression (reciprocal changes) in a 12-lead ECG should always arouse suspicion of myocardial injury."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ST Segment Changes"", ""paragraph_index"": 9, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
21,SPECIFIC_FOR,9,1.0,"{""evidence_text"": ""However, one of the most important causes for an abnormal Q wave is myocardial infarction."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Q Waves"", ""paragraph_index"": 0, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
22,STRONG_EVIDENCE_FOR,2,1.0,"{""evidence_text"": ""Q waves can develop within the first few minutes/hours of myocardial injury"", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Q Waves"", ""paragraph_index"": 0, ""chunk_index"": 1, ""data_source"": ""chapter_extraction_results.json""}"
23,WEAK_EVIDENCE_FOR,2,1.0,"{""evidence_text"": ""an accompanying decrease in the amplitude of the R waves will sometimes be observed"", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Q Waves"", ""paragraph_index"": 0, ""chunk_index"": 1, ""data_source"": ""chapter_extraction_results.json""}"
24,STRONG_EVIDENCE_FOR,9,1.0,"{""evidence_text"": ""Q waves can be observed in the acute process of a myocardial infarction."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Q Waves"", ""paragraph_index"": 1, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
1,STRONG_EVIDENCE_FOR,25,1.0,"{""evidence_text"": ""myocardial infarctions are usually classified by whether ST segment elevation is present (ST segment elevation myocardial infarction or STEMI)"", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 0, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
10,STRONG_EVIDENCE_FOR,26,1.0,"{""evidence_text"": ""The ECG changes associated with non-STEMI infarctions can be subtle and include ST segment depression"", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 0, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
27,STRONG_EVIDENCE_FOR,26,1.0,"{""evidence_text"": ""The ECG changes associated with non-STEMI infarctions can be subtle and include T wave inversion"", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 0, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
28,STRONG_EVIDENCE_FOR,7,1.0,"{""evidence_text"": ""ST segment depression associated with chest pain should always arouse suspicion of myocardial ischemia."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 2, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
29,WEAK_EVIDENCE_FOR,7,1.0,"{""evidence_text"": ""isolated ST segment depression in the anterior leads V2 and V3 has been associated with occlusion of the circumflex."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 2, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
30,SPECIFIC_FOR,9,1.0,"{""evidence_text"": ""horizontal ST segment depression... is more characteristic for ischemia/infarction."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 2, ""chunk_index"": 0, ""data_source"": ""chapter_extraction_results.json""}"
31,STRONG_EVIDENCE_FOR,7,1.0,"{""evidence_text"": ""Finally, dynamic ST segment depression strongly suggests underlying ischemia with transient occlusion and reperfusion of a coronary artery."", ""source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 2, ""chunk_index"": 1, ""data_source"": ""chapter_extraction_results.json""}"
